period,date,bb_narrow_pct,bb_lower_80,bb_upper_80,bb_lower_95,bb_upper_95,cs_narrow_pct,cs_lower_80,cs_upper_80,cs_lower_95,cs_upper_95
2025-H2,2025-12-30,22.66153364740004,22.006063292072756,23.317004002727327,21.65907824574852,23.663989049051562,35.80522316289207,34.76958000147496,36.840866324309175,34.22134362828267,37.38910269750147
2026-H1,2026-06-30,23.12306729480008,22.196092228562723,24.050042361037438,21.70538127011033,24.54075331948983,36.53444632578413,35.06982572112911,37.999066930439156,34.29450240677432,38.774390244793935
2026-H2,2026-12-30,23.584600942200126,22.449292983918046,24.719908900482206,21.848297254217826,25.320904630182426,37.2636694886762,35.469882914590514,39.05745606276189,34.520309661664164,40.007029315688236
2027-H1,2027-06-30,24.046134589600165,22.735193878945598,25.35707530025473,22.04122378629712,26.05104539290321,37.99289265156826,35.92160632873404,40.06417897440248,34.82513358234945,41.16065172078707
2027-H2,2027-12-30,24.50766823700021,23.041991965252464,25.973344508747957,22.266109814495554,26.749226659504867,38.72211581446033,36.4063473050989,41.03788432382177,35.18045350690298,42.26377812201769
2028-H1,2028-06-30,24.96920188440025,23.363633972327623,26.574769796472875,22.513697660457257,27.42470610834324,39.45133897735239,36.91454167627764,41.98813627842714,35.57164230352247,43.33103565118232
2028-H2,2028-12-30,25.430735531800295,23.69652397982916,27.16494708377143,22.778487838597,28.082983225003588,40.18056214024447,37.44050788813007,42.92061639235886,35.99001078498326,44.37111349550567
2029-H1,2029-06-30,25.892269179200333,24.03831904672562,27.74621931167505,23.056897129820833,28.727641228579834,40.90978530313653,37.98054409382648,43.83902651244658,36.429897465116916,45.38967314115614
2029-H2,2029-12-30,26.35380282660038,24.387391760618527,28.32021389258223,23.346436621645815,29.361169031554944,41.6390084660286,38.532078981777275,44.745937950279924,36.88736986220039,46.39064706985681
2030-H1,2030-06-30,26.815336474000418,24.742557212446318,28.888115735554518,23.64529415204269,29.985378795958145,42.36823162892066,39.093240395665184,45.64322286217614,37.35956476022746,47.37689849761387
2030-H2,2030-12-30,27.276870121400464,25.102920891578933,29.450819351221995,23.952101685057347,30.60163855774358,43.09745479181274,39.662615008694715,46.53229457493075,37.84432066239061,48.35058892123486
2031-H1,2031-06-30,27.738403768800502,25.46778785223634,30.009019685364663,24.2657963928359,31.211011144765106,43.8266779547048,40.23910480653342,47.41425110287617,38.33995830068072,49.31339760872887
2031-H2,2031-12-30,28.199937416200548,25.836605440521424,30.563269391879672,24.58553306418014,31.814341768220956,44.55590111759687,40.82183659602385,48.289965639169885,38.84514224140462,50.26665999378911
2032-H1,2032-06-30,28.661471063600587,26.208925566778916,31.114016560422257,24.910626405099734,32.41231572210144,45.28512428048893,41.41010239551069,49.16014616546717,39.35878972005758,51.21145884092028
2032-H2,2032-12-30,29.123004711000625,26.584378940885397,31.661630481115854,25.240511635088616,33.005497786912635,46.01434744338099,42.00331872659893,50.02537616016305,39.880008383440014,52.14868650332197
2033-H1,2033-06-30,29.58453835840067,26.962656937091534,32.206419779709805,25.574716751794586,33.59435996500676,46.74357060627306,42.60099796060462,50.88614325194149,40.40805246783545,53.07908874471068
2033-H2,2033-12-30,30.04607200580071,27.34349849632518,32.748645515276245,25.91284249982051,34.179301511780906,47.47279376916512,43.202727624193784,51.74285991413647,40.94229114971641,54.00329638861383
2034-H1,2034-06-30,30.507605653200756,27.726680454488687,33.288530851912824,26.254547579131504,34.76066372727001,48.2020169320572,43.808155118092124,52.595878746022265,41.48218517502778,54.921848689086616
2034-H2,2034-12-30,30.969139300600794,28.112010261242467,33.82626833995912,26.599537509395336,35.338741091806256,48.93124009494926,44.4169762127631,53.44550397713542,42.027269264844634,55.835210925053886
2035-H1,2035-06-30,31.43067294800084,28.499320404505344,34.36202549149634,26.947556102991527,35.91378979301015,49.66046325784133,45.02892623911845,54.29200027656422,42.57713864272662,56.74378787295604
2035-H2,2035-12-30,31.89220659540088,28.888464076313998,34.895949114487756,27.298378836515422,36.48603435428633,50.38968642073339,45.64377324057612,55.13559960089066,43.13143856169437,57.64793427977241
2036-H1,2036-06-30,32.353740242800924,29.27931175807677,35.42816872752508,27.651807628374502,37.05567285722735,51.11890958362546,46.261312577761295,55.97650658948963,43.689856052831715,58.54796311441922
2036-H2,2036-12-30,32.81527389020096,29.671748497525385,35.95879928287654,28.007666674245485,37.62288110615644,51.84813274651752,46.88136262609011,56.814902866944934,44.25211334530787,59.44415214772718
2037-H1,2037-06-30,33.27680753760101,30.065671713455753,36.48794336174626,28.365799089715022,38.18781598548699,52.5773559094096,47.50376130726009,57.650950511559095,44.81796256174974,60.33674925706945
2037-H2,2037-12-30,33.73834118500105,30.46098940836463,37.01569296163747,28.72606417674344,38.75061819325865,53.30657907230166,48.128363265216116,58.4847948793872,45.38718139925464,61.225976745348675
2038-H1,2038-06-30,34.19987483240109,30.857618700005677,37.54213096479651,29.088335177873493,39.3114144869287,54.03580223519373,48.75503754600897,59.31656692437849,45.95956958104012,62.11203488934734
2038-H2,2038-12-30,34.66140847980113,31.255484604954887,38.06733235464738,29.45249741585423,39.87031954374804,54.76502539808579,49.38366567582872,60.146385120342856,46.53494591704968,62.995104879121904
2039-H1,2039-06-30,35.12294212720118,31.654519023258906,38.59136523114345,29.81844674079459,40.427437513607764,55.494248560977866,50.01414005674908,60.974357065206654,47.11314585045546,63.87535127150027
2039-H2,2039-12-30,35.584475774601216,32.05465988497278,39.114291664229654,30.18608822490556,40.98286332429687,56.22347172386993,50.646362618256994,61.800580829482854,47.694019395350786,64.75292405238906
2040-H1,2040-06-30,36.046009422001255,32.45585042811445,39.63616841588806,30.555335058226856,41.53668378577565,56.95269488676198,51.28024367642084,62.62514609710313,48.27742939199843,65.62796038152553
2040-H2,2040-12-30,36.5075430694013,32.85803858411852,40.157047554684084,30.9261076087595,42.0889785300431,57.68191804965406,51.91570096290726,63.44813513640086,48.86325002184002,66.5005860774681
2041-H1,2041-06-30,36.96907671680134,33.26117645185191,40.67697698175077,31.298332618042338,42.63982081556034,58.41114121254612,52.55265879392602,64.26962363116621,49.4513655365069,67.0
2041-H2,2041-12-30,37.430610364201385,33.66521984507526,41.19600088332751,31.67194250905378,43.18927821934899,59.14036437543819,53.19104735521892,65.08968139565746,50.04166916430497,67.0
2042-H1,2042-06-30,37.892144011601424,34.07012790119087,41.714160122011975,32.04687478784358,43.73741323535927,59.86958753833025,53.83080208388158,65.90837299277892,50.63406216479286,67.0
2042-H2,2042-12-30,38.35367765900147,34.47586274142861,42.23149257657433,32.4230715238319,44.28428379417104,60.59881070122233,54.4718631314572,66.72575827098746,51.22845300765441,67.0
2043-H1,2043-06-30,38.81521130640151,34.882389174437805,42.74803343836521,32.80047889649238,44.82994371631064,61.32803386411439,55.11417489561173,67.0,51.824756656457964,67.0
2043-H2,2043-12-30,39.276744953801554,35.28967443669549,43.263815470907616,33.17904679834063,45.37444310926248,62.05725702700646,55.75768560997888,67.0,52.4228939413782,67.0
2044-H1,2044-06-30,39.73827860120159,35.697687964291035,43.77886923811215,33.558728485909064,45.91782871649412,62.78648018989852,56.40234698357984,67.0,53.02279100773632,67.0
2044-H2,2044-12-30,40.19981224860164,36.10640119157326,44.293223305630015,33.93948027180423,46.46014422539905,63.515703352790595,57.048113882685755,67.0,53.624378829450684,67.0
2045-H1,2045-06-30,40.66134589600168,36.51578737289348,44.80690441910988,34.321261252086224,47.00143053991713,64.24492651568265,57.694944049171696,67.0,54.227592778296234,67.0
2045-H2,2045-12-30,41.12287954340172,36.92582142428687,45.31993766251657,34.704033064141385,47.54172602266206,64.97414967857472,58.34279785037326,67.0,54.83237224134339,67.0
2046-H1,2046-06-30,41.58441319080176,37.33647978243237,45.83234659917115,35.08775967097995,48.081066710623574,65.70337284146679,58.99163805624315,67.0,55.43866028014832,67.0
2046-H2,2046-12-30,42.04594683820181,37.747740278640755,46.34415339776286,35.472407168517485,48.61948650788613,66.43259600435886,59.6414296402524,67.0,56.046403326257625,67.0
2047-H1,2047-06-30,42.507480485601846,38.159582025958784,46.85537894524491,35.85794361291562,49.15701735828807,67.0,60.29213960101488,67.0,56.65555090840668,67.0
2047-H2,2047-12-30,42.96901413300189,38.571985317758646,47.36604294824514,36.244338865487926,49.69368940051586,67.0,60.943736802058666,67.0,57.26605540747092,67.0
2048-H1,2048-06-30,43.43054778040193,38.98493153641592,47.87616402438794,36.63156445303493,50.22953110776893,67.0,61.596191827537154,67.0,57.8778718357952,67.0
2048-H2,2048-12-30,43.892081427801976,39.39840307087598,48.38575978472797,37.01959344177285,50.764569413831104,67.0,62.24947685198405,67.0,58.490957638001106,67.0
2049-H1,2049-06-30,44.353615075202015,39.81238324207369,48.89484690833034,37.408400323272815,51.298829827131215,67.0,62.90356552247644,67.0,59.10527251077105,67.0
2049-H2,2049-12-30,44.81514872260206,40.226856235311075,49.403441209893046,37.797960911041415,51.83233653416271,67.0,63.5584328517915,67.0,59.72077823944544,67.0
2050-H1,2050-06-30,45.2766823700021,40.641807038815315,49.91155770118888,38.188252246553354,52.365112493450845,67.0,64.2140551213282,67.0,60.3374385495543,67.0
2050-H2,2050-12-30,45.738216017402145,41.0572213878008,50.41921064700349,38.57925251370163,52.89717952110266,67.0,64.87040979272527,67.0,60.955218971648584,67.0
