,equity_flow,sp500_return,pop_65plus,trend,sp500_return_lag1
2007-07-01,-1.0,1.556398828588379,38.2,1,
2007-10-01,-3.0,-3.16090416308088,38.375,2,1.556398828588379
2008-01-01,-31.0,-11.043142259485816,38.55,3,-3.16090416308088
2008-04-01,3.0,-2.801121214899893,38.725,4,-11.043142259485816
2008-07-01,-49.0,-5.11294256757443,38.9,5,-2.801121214899893
2008-10-01,-40.0,-28.047135611429653,39.075,6,-5.11294256757443
2009-01-01,-32.0,-6.514569179168839,39.25,7,-28.047135611429653
2009-04-01,23.0,12.619335393726484,39.425,8,-6.514569179168839
2009-07-01,4.0,13.655163001221071,39.6,9,12.619335393726484
2009-10-01,-8.0,6.771495461258881,39.775,10,13.655163001221071
2010-01-01,10.0,4.6171453353244685,39.95,11,6.771495461258881
2010-04-01,-1.0,-7.6997113541057765,40.125,12,4.6171453353244685
2010-07-01,-26.0,6.677964577323436,40.3,13,-7.6997113541057765
2010-10-01,7.0,9.486217305439792,40.58543125,14,6.677964577323436
2011-01-01,10.0,4.466005560691966,40.8708625,15,9.486217305439792
2011-04-01,-18.0,-3.452337566950625,41.15629375,16,4.466005560691966
2011-07-01,-45.0,-10.80258243941885,41.441725,17,-3.452337566950625
2011-10-01,-39.0,11.152746485998332,41.83284975,18,-10.80258243941885
2012-01-01,-10.0,11.99606230360406,42.2239745,19,11.152746485998332
2012-04-01,-14.0,-3.2879071138314786,42.61509925,20,11.99606230360406
2012-07-01,-26.0,5.764068061690564,43.006224,21,-3.2879071138314786
2012-10-01,-38.0,-2.6547347820647715,43.3982095,22,5.764068061690564
2013-01-01,33.0,11.89062166060788,43.790195,23,-2.6547347820647715
2013-04-01,9.0,2.363756640917991,44.1821805,24,11.89062166060788
2013-07-01,23.0,5.320846070714169,44.574166,25,2.363756640917991
2013-10-01,23.0,8.846342100641614,44.98919275,26,5.320846070714169
2014-01-01,21.0,0.8807446329162083,45.4042195,27,8.846342100641614
2014-04-01,-4.0,5.563015292296236,45.81924625,28,0.8807446329162083
2014-07-01,-9.0,1.116056244749175,46.234273,29,5.563015292296236
2014-10-01,5.0,5.341823218446384,46.64855575,30,1.116056244749175
2015-01-01,16.0,-1.3282514744641039,47.0628385,31,5.341823218446384
2015-04-01,-7.0,1.963365272860207,47.47712125,32,-1.3282514744641039
2015-07-01,-21.0,-8.096526528284464,47.891404,33,1.963365272860207
2015-10-01,-30.0,5.829991877000662,48.19739875,34,-8.096526528284464
2016-01-01,-8.0,-0.3914483422357118,48.5033935,35,5.829991877000662
2016-04-01,-31.0,0.07216723590559582,48.80938825,36,-0.3914483422357118
2016-07-01,-50.0,6.423214502359165,49.115383,37,0.07216723590559582
2016-10-01,-56.0,3.253954723093022,49.54046525,38,6.423214502359165
2017-01-01,-7.0,5.5337708676608255,49.9655475,39,3.253954723093022
2017-04-01,-11.0,2.568680011934088,50.39062975,40,5.5337708676608255
2017-07-01,-50.0,3.9593310562219486,50.815712,41,2.568680011934088
2017-10-01,-17.0,6.12262127419736,51.2175625,42,3.9593310562219486
2018-01-01,-8.0,-1.224730847627331,51.619413,43,6.12262127419736
2018-04-01,-21.0,2.9349264588497848,52.0212635,44,-1.224730847627331
2018-07-01,-34.0,7.195651273847337,52.423114,45,2.9349264588497848
2018-10-01,-54.0,-14.696161185294255,52.8358425,46,7.195651273847337
2019-01-01,-5.0,14.0266188389935,53.248571,47,-14.696161185294255
2019-04-01,-37.0,3.787779590632079,53.6612995,48,14.0266188389935
2019-07-01,-59.0,0.6809690287834069,54.074028,49,3.787779590632079
2019-10-01,-75.0,9.393878343205397,54.30127625,50,0.6809690287834069
2020-01-01,-72.0,-21.560071554048086,54.5285245,51,9.393878343205397
2020-04-01,-54.0,18.398124377924653,54.75577275,52,-21.560071554048086
2020-07-01,-118.0,9.6177940194776,54.983021,53,18.398124377924653
2020-10-01,-112.0,13.873596917065223,55.21026925,54,9.6177940194776
2021-01-01,-63.0,5.816327139673749,55.4375175,55,13.873596917065223
2021-04-01,-40.0,7.703175446188215,55.66476575,56,5.816327139673749
2021-07-01,-35.0,4.082869514356502,55.892014,57,7.703175446188215
2021-10-01,-72.0,6.973551713439763,56.37458925,58,4.082869514356502
2022-01-01,-18.0,-4.68145253615263,56.8571645,59,6.973551713439763
2022-04-01,-41.0,-13.896207195945642,57.33973975,60,-4.68145253615263
2022-07-01,-37.0,-8.336940254935044,57.822315,61,-13.896207195945642
2022-10-01,-102.0,7.080287163310639,58.19350025,62,-8.336940254935044
2023-01-01,-20.0,7.027375903417399,58.5646855,63,7.080287163310639
2023-04-01,-76.0,8.299901060922089,58.93587075,64,7.027375903417399
2023-07-01,-33.0,-3.6474894575561523,59.307056,65,8.299901060922089
2023-10-01,-59.0,11.2352893497097,59.79161275,66,-3.6474894575561523
2024-01-01,-56.0,10.158119897864903,60.2761695,67,11.2352893497097
2024-04-01,-54.0,3.922998034498515,60.76072625,68,10.158119897864903
2024-07-01,-72.0,5.085432575669868,61.245283,69,3.922998034498515
